7,17,0
110,243,0
110,243,0
110,243,0
18,58,0
19,47,0
16,15,0
12,23,0
5,33,0
32,79,0
52,135,0
53,72,0
11,16,0
55,118,0
43,102,0
7,37,0
5,7,0
2,5,0
18,24,0
9,9,0
17,53,0
40,102,0
5,19,0
7,62,0
9,25,0
38,164,0
7,8,0
20,56,0
9,18,0
10,23,0
70,331,0
11,31,0
23,47,0
5,12,0
19,115,0
14,78,0
4,61,0
5,44,0
29,75,0
9,30,0
14,88,0
18,35,0
7,25,0
18,36,0
9,44,0
86,155,0
74,105,0
37,158,0
6,24,0
17,37,0
28,60,0
24,82,0
7,28,0
16,45,0
25,69,0
14,41,0
5,29,0
48,98,0
7,20,0
23,26,0
51,112,0
45,49,0
20,35,0
43,39,0
9,23,0
83,100,0
22,84,0
24,82,0
27,23,0
5,18,0
24,28,0
16,89,0
14,35,0
39,75,0
43,105,0
26,51,0
34,64,0
29,61,0
11,33,0
43,37,0
10,22,0
67,89,0
22,24,0
11,28,0
27,40,0
23,23,0
3,4,0
30,33,0
48,58,0
25,44,0
32,53,0
19,46,0
0,6,0
5,13,0
17,41,0
29,64,0
10,46,0
4,10,0
15,19,0
33,182,1
52,235,1
8,58,1
87,264,1
2,11,1
11,20,1
10,34,1
18,54,1
36,118,1
23,59,1
26,65,1
41,100,1
105,319,1
45,135,1
20,56,1
27,87,1
7,76,1
52,148,1
30,116,1
35,87,1
22,66,1
128,264,1
22,33,1
32,136,1
30,81,1
28,43,1
40,169,1
83,362,1
104,264,1
39,86,1
41,210,1
21,44,1
25,164,1
32,107,1
34,68,1
49,120,1
87,279,1
8,23,1
49,223,1
25,62,1
56,228,1
45,154,1
61,150,1
50,113,1
93,268,1
19,126,1
59,146,1
19,43,1
37,91,1
101,302,1
0,17,1
16,96,1
25,45,1
34,212,1
117,442,1
41,264,1
1,10,1
20,32,1
163,393,1
8,25,1
92,224,1
37,63,1
16,52,1
39,48,1
44,149,1
6,25,1
34,139,1
3,56,1
9,33,1
37,58,1
104,227,1
2,36,1
32,144,1
27,94,1
17,22,1
41,160,1
64,175,1
2,26,1
97,187,1
49,143,1
12,78,1
0,1,1
63,152,1
74,166,1
25,40,1
12,36,1
40,81,1
94,164,1
34,92,1
10,45,1
83,223,1
45,112,1
71,178,1
53,95,1
41,88,1
94,193,1
6,25,1
93,244,1
9,18,1
59,235,1
103,205,1
56,73,1
39,108,1
82,139,1
37,104,1
69,229,1
22,66,1
76,86,1
79,168,1
49,104,1
84,126,1
21,32,1
69,203,1
36,79,1
14,13,1
219,219,1
52,75,1
112,102,1
